Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,21.69942191
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,721801.602
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,25487899.74
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,34.95822075
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,453386
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,28826420
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,63.58030464
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,326.94
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,0
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,0
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,MW.h,16
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$,782
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$/MW.h,48.875
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,41762.59
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,1432233.56
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,33.81912879
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,MW.h,23912
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$,1601355.73
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$/MW.h,37.82796211
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,MW.h,844.61
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,CAN$,51016.38
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,CAN$/MW.h,60.40229218
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,MW.h,14.82
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,CAN$,1043.31
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,CAN$/MW.h,70.39878543
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,989272
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,31617153.94
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,27.70648576
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,355157
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,14253534.48
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,37.06801896
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,MW.h,7750
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$,94918.16
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$/MW.h,12.24750452
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,5231.2
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,117371.45
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,22.43681182
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,2757840.6
